,0
2010-06-03 01:00:00,boot VM:2^1.0
2010-06-03 02:00:00,boot VM:1^1.0
2010-06-03 03:00:00,boot VM:4^1.0
2010-06-03 07:00:00,boot VM:12^1.0
2010-06-03 09:00:00,boot VM:5^1.0
2010-06-03 11:00:00,boot VM:15^1.0
2010-06-03 22:00:00,boot VM:9^1.0
2010-06-04 02:00:00,boot VM:13^1.0
2010-06-04 03:00:00,boot VM:6^1.0
2010-06-04 06:00:00,boot VM:10^1.0
2010-06-04 06:00:00,boot VM:14^1.0
2010-06-04 10:00:00,delete VM:1^1.0
2010-06-04 12:00:00,boot VM:7^1.0
2010-06-04 13:00:00,boot VM:3^1.0
2010-06-04 15:00:00,boot VM:8^1.0
2010-06-04 15:00:00,boot VM:11^1.0
2010-06-04 22:00:00,delete VM:15^1.0
